vname,frame_no,flux_r,flux_g,flux_b,area_r,area_g,area_b,r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,r9,g9,b9,r10,g10,b10,r_seq,g_seq,b_seq
auroramaxHD_20180421_480p.mp4,1,52700.0,732127.0,15789780.0,1985,6985,152210,39,67,106,51,77,103,38,68,104,56,82,102,52,72,97,54,80,98,52,70,97,47,64,96,51,69,95,36,55,94,32,49,92,[39 51 38 56 52 54 52 47 51 36 32],[67 77 68 82 72 80 70 64 69 55 49],[106 103 104 102  97  98  97  96  95  94  92]
auroramaxHD_20180421_480p.mp4,2,31246.0,632027.0,15839844.0,1424,6144,153353,39,64,106,49,72,103,37,65,102,56,75,101,50,71,97,56,78,97,55,72,98,50,66,96,53,72,95,36,55,94,32,49,92,[39 49 37 56 50 56 55 50 53 36 32],[64 72 65 75 71 78 72 66 72 55 49],[106 103 102 101  97  97  98  96  95  94  92]
auroramaxHD_20180421_480p.mp4,3,11860.0,494907.0,15883384.0,1579,5042,154091,35,64,105,45,67,101,37,64,100,47,69,101,48,68,97,54,74,98,55,71,99,51,68,96,56,73,94,36,55,93,32,49,91,[35 45 37 47 48 54 55 51 56 36 32],[64 67 64 69 68 74 71 68 73 55 49],[105 101 100 101  97  98  99  96  94  93  91]
auroramaxHD_20180421_480p.mp4,4,13362.0,423713.0,15857410.0,1613,4672,154720,35,63,103,41,67,101,36,59,98,43,62,100,48,68,97,53,75,99,53,70,99,55,73,96,56,75,94,35,55,93,31,48,91,[35 41 36 43 48 53 53 55 56 35 31],[63 67 59 62 68 75 70 73 75 55 48],[103 101  98 100  97  99  99  96  94  93  91]
auroramaxHD_20180421_480p.mp4,5,11476.0,418522.0,15855170.0,879,5504,155546,32,60,103,41,71,100,36,57,97,40,60,98,49,70,97,52,73,100,56,75,99,58,79,96,56,75,94,35,54,92,30,48,91,[32 41 36 40 49 52 56 58 56 35 30],[60 71 57 60 70 73 75 79 75 54 48],[103 100  97  98  97 100  99  96  94  92  91]
auroramaxHD_20180421_480p.mp4,6,11743.0,393166.0,15787403.0,1419,4227,155080,32,63,103,40,65,100,36,57,96,40,62,98,50,69,97,52,73,99,55,71,99,60,81,96,58,76,93,35,53,92,31,48,91,[32 40 36 40 50 52 55 60 58 35 31],[63 65 57 62 69 73 71 81 76 53 48],[103 100  96  98  97  99  99  96  93  92  91]
auroramaxHD_20180421_480p.mp4,7,11045.0,438225.0,15696542.0,1320,4957,155029,31,64,102,39,65,100,34,56,95,40,60,96,49,68,97,52,72,98,57,72,98,59,80,95,57,76,93,35,53,91,29,48,90,[31 39 34 40 49 52 57 59 57 35 29],[64 65 56 60 68 72 72 80 76 53 48],[102 100  95  96  97  98  98  95  93  91  90]
auroramaxHD_20180421_480p.mp4,8,10892.0,416504.0,15646027.0,1315,4631,155011,32,63,102,39,65,100,34,55,95,39,59,95,49,70,97,50,72,98,58,75,97,60,78,96,56,75,93,35,52,91,30,48,90,[32 39 34 39 49 50 58 60 56 35 30],[63 65 55 59 70 72 75 78 75 52 48],[102 100  95  95  97  98  97  96  93  91  90]
auroramaxHD_20180421_480p.mp4,9,10796.0,457617.0,15610335.0,1262,5160,154743,32,62,102,39,65,99,34,55,95,39,57,95,52,70,98,50,70,97,57,77,98,61,77,96,56,73,93,36,51,91,31,47,90,[32 39 34 39 52 50 57 61 56 36 31],[62 65 55 57 70 70 77 77 73 51 47],[102  99  95  95  98  97  98  96  93  91  90]
auroramaxHD_20180421_480p.mp4,10,9589.0,483465.0,15468883.0,1157,5416,154557,31,62,101,39,65,99,33,55,94,38,56,94,50,68,98,50,69,97,57,76,97,60,78,96,53,71,92,35,51,91,29,47,88,[31 39 33 38 50 50 57 60 53 35 29],[62 65 55 56 68 69 76 78 71 51 47],[101  99  94  94  98  97  97  96  92  91  88]
auroramaxHD_20180421_480p.mp4,11,9862.0,553811.0,15355317.0,1245,6195,153867,32,60,101,39,65,99,31,54,93,38,59,93,50,67,98,49,66,98,56,75,97,60,80,95,54,72,91,35,49,90,30,46,88,[32 39 31 38 50 49 56 60 54 35 30],[60 65 54 59 67 66 75 80 72 49 46],[101  99  93  93  98  98  97  95  91  90  88]
auroramaxHD_20180421_480p.mp4,12,9106.0,577208.0,15261055.0,1299,6328,153349,31,54,101,40,63,98,32,53,92,40,59,92,49,65,97,50,67,97,57,74,97,59,79,95,52,70,91,35,50,89,30,45,88,[31 40 32 40 49 50 57 59 52 35 30],[54 63 53 59 65 67 74 79 70 50 45],[101  98  92  92  97  97  97  95  91  89  88]
auroramaxHD_20180421_480p.mp4,13,9118.0,636728.0,15122955.0,1337,6956,152746,28,53,100,40,61,98,32,53,92,40,59,92,49,65,97,50,69,97,55,73,96,60,79,95,55,72,91,34,50,89,30,46,87,[28 40 32 40 49 50 55 60 55 34 30],[53 61 53 59 65 69 73 79 72 50 46],[100  98  92  92  97  97  96  95  91  89  87]
auroramaxHD_20180421_480p.mp4,14,9116.0,670131.0,15065174.0,1259,7339,152667,29,54,100,39,61,98,33,53,91,40,61,92,49,67,97,50,69,98,58,74,96,61,79,94,53,70,91,34,49,88,30,45,86,[29 39 33 40 49 50 58 61 53 34 30],[54 61 53 61 67 69 74 79 70 49 45],[100  98  91  92  97  98  96  94  91  88  86]
auroramaxHD_20180421_480p.mp4,15,8603.0,633499.0,15053962.0,1113,7365,152615,27,54,100,39,60,98,33,54,92,39,62,92,51,69,97,50,69,98,58,77,97,63,78,94,54,71,91,32,47,88,30,45,86,[27 39 33 39 51 50 58 63 54 32 30],[54 60 54 62 69 69 77 78 71 47 45],[100  98  92  92  97  98  97  94  91  88  86]
auroramaxHD_20180421_480p.mp4,16,8847.0,762763.0,14857889.0,1199,8686,151194,28,53,100,39,60,98,33,53,91,40,62,91,53,69,98,51,68,98,57,77,96,63,79,94,58,73,91,32,47,87,30,45,85,[28 39 33 40 53 51 57 63 58 32 30],[53 60 53 62 69 68 77 79 73 47 45],[100  98  91  91  98  98  96  94  91  87  85]
auroramaxHD_20180421_480p.mp4,17,8841.0,789907.0,14960748.0,1280,9012,151837,27,53,100,40,59,98,32,52,91,41,61,93,55,72,97,55,68,98,59,77,97,64,79,94,60,75,91,33,46,87,29,45,87,[27 40 32 41 55 55 59 64 60 33 29],[53 59 52 61 72 68 77 79 75 46 45],[100  98  91  93  97  98  97  94  91  87  87]
auroramaxHD_20180421_480p.mp4,18,9869.0,810790.0,14884986.0,1383,9034,151314,28,53,100,40,58,97,33,53,90,40,62,93,55,72,97,58,71,99,60,79,97,67,81,95,58,74,90,32,46,88,30,45,85,[28 40 33 40 55 58 60 67 58 32 30],[53 58 53 62 72 71 79 81 74 46 45],[100  97  90  93  97  99  97  95  90  88  85]
